hall,date,date_dt,dd,month,year_month,day_of_week,weekday_nth,is_weekend,is_x_day,dd_bucket,n_machine_days,n_machines,total_games,total_diff,avg_diff_per_machine,avg_games_per_machine,plus_rate,budget_index,budget_regime
みとや,20250101,2025-01-01,1,1,202501,水,Wed1,0,0,1-7,263,263,1034757,-28426,-108.08365019011407,3934.4372623574145,0.34980988593155893,-2.747118405577348,under_budget
みとや,20250102,2025-01-02,2,1,202501,木,Thu1,0,0,1-7,258,258,928052,-18994,-73.62015503875969,3597.1007751937987,0.38372093023255816,-2.0466525582618216,under_budget
みとや,20250103,2025-01-03,3,1,202501,金,Fri1,0,0,1-7,257,257,1001480,50743,197.44357976653697,3896.8093385214006,0.4046692607003891,5.066801134321205,over_budget
みとや,20250104,2025-01-04,4,1,202501,土,Sat1,1,1,1-7,266,266,1494823,210371,790.8684210526316,5619.6353383458645,0.5225563909774437,14.073304999989967,over_budget
みとや,20250105,2025-01-05,5,1,202501,日,Sun1,1,0,1-7,264,264,1072098,-15024,-56.90909090909091,4060.9772727272725,0.3712121212121212,-1.4013644275056945,under_budget
みとや,20250106,2025-01-06,6,1,202501,月,Mon1,0,0,1-7,243,243,678994,-15335,-63.10699588477366,2794.213991769547,0.35390946502057613,-2.2584882929746066,under_budget
みとや,20250107,2025-01-07,7,1,202501,火,Tue1,0,1,1-7,257,257,961459,112768,438.7859922178988,3741.0856031128405,0.46303501945525294,11.728841271442672,over_budget
みとや,20250108,2025-01-08,8,1,202501,水,Wed2,0,0,8-14,229,229,589189,-19605,-85.61135371179039,2572.877729257642,0.3624454148471616,-3.327455196889283,under_budget
みとや,20250109,2025-01-09,9,1,202501,木,Thu2,0,0,8-14,253,253,706808,-27815,-109.9407114624506,2793.707509881423,0.3241106719367589,-3.935297846091159,under_budget
みとや,20250110,2025-01-10,10,1,202501,金,Fri2,0,0,8-14,238,238,662327,-28186,-118.42857142857143,2782.8865546218485,0.36554621848739494,-4.2556018401786435,under_budget
みとや,20250111,2025-01-11,11,1,202501,土,Sat2,1,0,8-14,265,265,1141163,4799,18.109433962264152,4306.2754716981135,0.4339622641509434,0.4205358918927445,balanced
みとや,20250112,2025-01-12,12,1,202501,日,Sun2,1,0,8-14,266,266,1060620,-55021,-206.84586466165413,3987.2932330827066,0.33458646616541354,-5.187626105485471,under_budget
みとや,20250113,2025-01-13,13,1,202501,月,Mon2,0,0,8-14,259,259,881325,-76961,-297.1467181467182,3402.799227799228,0.3436293436293436,-8.732419935891981,under_budget
みとや,20250114,2025-01-14,14,1,202501,火,Tue2,0,1,8-14,264,264,1212074,52586,199.18939393939394,4591.189393939394,0.45075757575757575,4.338513985119721,over_budget
