date,month,weekday,expert,precision,recall,f1,hit_at_2,hit_at_3,pred_span,n_items
2026-05-20,2026-05,Wednesday,2F_A,0.0,0.0,0.0,0.0,0.0,0.0,10
2026-05-20,2026-05,Wednesday,2F_N,0.5,0.5,0.5,1.0,1.0,0.9875500709749759,10
2026-05-20,2026-05,Wednesday,3F_A,0.5,0.5,0.5,1.0,1.0,0.7205148935317993,10
2026-05-20,2026-05,Wednesday,3F_N,1.0,1.0,1.0,1.0,1.0,0.9477244764566422,10
2026-05-22,2026-05,Friday,2F_A,0.0,0.0,0.0,0.0,0.0,0.0,10
2026-05-22,2026-05,Friday,2F_N,1.0,1.0,1.0,1.0,1.0,0.8162678848976856,10
2026-05-22,2026-05,Friday,3F_A,0.5,0.5,0.5,1.0,1.0,0.0025024749693607993,10
2026-05-22,2026-05,Friday,3F_N,1.0,1.0,1.0,1.0,1.0,0.0102153926351574,10
2026-05-23,2026-05,Saturday,2F_A,1.0,1.0,1.0,1.0,1.0,0.9935326286068169,20
2026-05-23,2026-05,Saturday,2F_N,0.0,0.0,0.0,0.0,1.0,0.06093447612677267,20
2026-05-23,2026-05,Saturday,3F_A,1.0,1.0,1.0,1.0,1.0,0.9933054352154616,20
2026-05-23,2026-05,Saturday,3F_N,1.0,1.0,1.0,1.0,1.0,0.9952791797950704,20
2026-05-24,2026-05,Sunday,2F_A,0.5,0.5,0.5,1.0,1.0,0.9881322466417377,10
2026-05-24,2026-05,Sunday,2F_N,1.0,1.0,1.0,1.0,1.0,0.9999999794980118,10
2026-05-24,2026-05,Sunday,3F_A,0.5,0.5,0.5,1.0,1.0,0.9996360179579111,10
2026-05-24,2026-05,Sunday,3F_N,1.0,1.0,1.0,1.0,1.0,0.9981514116136787,10
2026-05-25,2026-05,Monday,2F_A,1.0,1.0,1.0,1.0,1.0,0.9974347867734272,10
2026-05-25,2026-05,Monday,2F_N,1.0,1.0,1.0,1.0,1.0,0.94637946859846,10
2026-05-25,2026-05,Monday,3F_A,1.0,1.0,1.0,1.0,1.0,0.8945626780003496,10
2026-05-25,2026-05,Monday,3F_N,1.0,1.0,1.0,1.0,1.0,0.8318339990035828,10
2026-05-26,2026-05,Tuesday,2F_A,1.0,1.0,1.0,1.0,1.0,0.9982356342387433,10
2026-05-26,2026-05,Tuesday,2F_N,1.0,1.0,1.0,1.0,1.0,0.7480404806023857,10
2026-05-26,2026-05,Tuesday,3F_A,1.0,1.0,1.0,1.0,1.0,0.9512107991553355,10
2026-05-26,2026-05,Tuesday,3F_N,1.0,1.0,1.0,1.0,1.0,0.9980813526010989,10
2026-05-27,2026-05,Wednesday,2F_A,1.0,1.0,1.0,1.0,1.0,0.9914238970515434,10
2026-05-27,2026-05,Wednesday,2F_N,0.5,0.5,0.5,1.0,1.0,0.9216450536473934,10
2026-05-27,2026-05,Wednesday,3F_A,1.0,1.0,1.0,1.0,1.0,0.989659502528651,10
2026-05-27,2026-05,Wednesday,3F_N,0.5,0.5,0.5,1.0,1.0,0.4743878636642566,10
