seed,date,weekday,excess
42,2026-01-29 00:00:00,Thursday,714.7571872571872
42,2026-01-30 00:00:00,Friday,1007.992007992008
42,2026-01-31 00:00:00,Saturday,432.8769821727568
42,2026-02-01 00:00:00,Sunday,917.9552841524672
42,2026-02-02 00:00:00,Monday,1121.5184815184816
42,2026-02-03 00:00:00,Tuesday,732.017982017982
42,2026-02-04 00:00:00,Wednesday,779.7202797202797
42,2026-02-05 00:00:00,Thursday,685.1709933901715
42,2026-02-06 00:00:00,Friday,898.6979217965134
42,2026-02-07 00:00:00,Saturday,1082.743557812051
42,2026-02-08 00:00:00,Sunday,1105.6743256743257
42,2026-02-09 00:00:00,Monday,902.0427459864079
42,2026-02-10 00:00:00,Tuesday,793.5764235764236
42,2026-02-11 00:00:00,Wednesday,829.7542997542997
42,2026-02-12 00:00:00,Thursday,669.8802567295718
42,2026-02-13 00:00:00,Friday,473.7962037962038
42,2026-02-14 00:00:00,Saturday,546.4453856003151
42,2026-02-15 00:00:00,Sunday,441.21878121878126
42,2026-02-16 00:00:00,Monday,535.8974358974359
42,2026-02-17 00:00:00,Tuesday,607.3426573426574
42,2026-02-18 00:00:00,Wednesday,1508.6792081158278
42,2026-02-19 00:00:00,Thursday,502.5844577957254
42,2026-02-20 00:00:00,Friday,508.1414360287599
42,2026-02-21 00:00:00,Saturday,647.3771299123412
42,2026-02-22 00:00:00,Sunday,0.0
42,2026-02-23 00:00:00,Monday,0.0
42,2026-02-24 00:00:00,Tuesday,723.3080808080808
42,2026-02-25 00:00:00,Wednesday,1292.2877122877123
42,2026-02-26 00:00:00,Thursday,869.4705294705295
42,2026-02-27 00:00:00,Friday,1159.2907092907094
42,2026-02-28 00:00:00,Saturday,801.8063626514331
42,2026-03-01 00:00:00,Sunday,686.2181062181062
42,2026-03-02 00:00:00,Monday,804.0272056710412
42,2026-03-03 00:00:00,Tuesday,606.1238761238761
42,2026-03-04 00:00:00,Wednesday,700.6029106029106
42,2026-03-05 00:00:00,Thursday,538.1918081918081
42,2026-03-06 00:00:00,Friday,819.5104895104895
42,2026-03-07 00:00:00,Saturday,803.1631382316314
42,2026-03-08 00:00:00,Sunday,1383.6068157194918
42,2026-03-09 00:00:00,Monday,521.048951048951
42,2026-03-10 00:00:00,Tuesday,994.7952047952048
42,2026-03-11 00:00:00,Wednesday,763.6519036519037
42,2026-03-12 00:00:00,Thursday,0.0
42,2026-03-13 00:00:00,Friday,546.3015857382054
42,2026-03-14 00:00:00,Saturday,722.0629370629371
42,2026-03-15 00:00:00,Sunday,975.1776990133154
42,2026-03-16 00:00:00,Monday,572.1378621378622
42,2026-03-17 00:00:00,Tuesday,813.1368631368632
42,2026-03-18 00:00:00,Wednesday,636.4211131334418
42,2026-03-19 00:00:00,Thursday,572.6740864769034
42,2026-03-20 00:00:00,Friday,995.124593716143
42,2026-03-21 00:00:00,Saturday,0.0
42,2026-03-22 00:00:00,Sunday,640.373599003736
42,2026-03-23 00:00:00,Monday,657.1600621600621
42,2026-03-24 00:00:00,Tuesday,620.9672018122722
42,2026-03-25 00:00:00,Wednesday,0.0
42,2026-03-26 00:00:00,Thursday,663.7162837162837
42,2026-03-27 00:00:00,Friday,692.0922320922322
42,2026-03-28 00:00:00,Saturday,1026.2994539706867
42,2026-03-29 00:00:00,Sunday,1108.5807150595883
42,2026-03-30 00:00:00,Monday,879.3558554121935
42,2026-03-31 00:00:00,Tuesday,771.6414141414142
42,2026-04-01 00:00:00,Wednesday,740.5885780885781
42,2026-04-02 00:00:00,Thursday,748.2950851964936
42,2026-04-03 00:00:00,Friday,458.0534533959192
42,2026-04-04 00:00:00,Saturday,0.0
42,2026-04-05 00:00:00,Sunday,781.3572343149808
42,2026-04-06 00:00:00,Monday,455.0895679662803
42,2026-04-07 00:00:00,Tuesday,879.3026418026418
