pattern,date1,aisle1,far1,date2,aisle2,far2,date3,aisle3,far3
通路高→奥低→通路高,20250114,-11.222222222222221,-267.05555555555554,20250117,-367.6666666666667,520.0555555555555,20250124,1184.388888888889,-392.1666666666667
通路高→奥低→通路高,20250304,1279.111111111111,-1072.2222222222222,20250307,-608.1666666666666,178.05555555555554,20250314,55.77777777777778,-259.3333333333333
通路高→奥低→通路高,20250424,319.8888888888889,-216.55555555555554,20250427,-1008.5,-364.72222222222223,20250504,-279.77777777777777,-1321.611111111111
通路高→奥低→通路高,20250507,474.3333333333333,-80.83333333333333,20250514,-342.1111111111111,147.88888888888889,20250517,748.8888888888889,-519.2222222222222
通路高→奥低→通路高,20250527,-132.38888888888889,-538.3888888888889,20250604,839.6111111111111,950.9444444444445,20250607,121.11111111111111,-210.0
通路高→奥低→通路高,20250707,413.77777777777777,-13.055555555555555,20250714,60.77777777777778,278.1666666666667,20250717,1111.7777777777778,-263.1666666666667
通路高→奥低→通路高,20250904,1596.7222222222222,-96.33333333333333,20250907,-635.8888888888889,314.72222222222223,20250914,493.3333333333333,-246.77777777777777
通路高→奥低→通路高,20250924,837.5,-184.61111111111111,20250927,-584.2777777777778,1024.7222222222222,20251004,1157.7777777777778,-87.44444444444444
奥高→通路低→奥高,20250927,-584.2777777777778,1024.7222222222222,20251004,1157.7777777777778,-87.44444444444444,20251007,414.22222222222223,504.8333333333333
奥高→通路低→奥高,20251017,-215.88888888888889,-131.5,20251024,689.1111111111111,202.27777777777777,20251027,-368.6666666666667,362.27777777777777
通路高→奥低→通路高,20251024,689.1111111111111,202.27777777777777,20251027,-368.6666666666667,362.27777777777777,20251104,791.6666666666666,261.8333333333333
通路高→奥低→通路高,20251114,358.3333333333333,-454.94444444444446,20251117,-282.44444444444446,-45.55555555555556,20251124,742.6666666666666,-337.1111111111111
通路高→奥低→通路高,20251214,1492.111111111111,-408.72222222222223,20251217,-612.1666666666666,607.3888888888889,20251224,603.2222222222222,-117.22222222222223
通路高→奥低→通路高,20251227,291.3888888888889,-261.0,20260104,-1104.2222222222222,-306.05555555555554,20260107,50.5,4.277777777777778
奥高→通路低→奥高,20260207,443.77777777777777,1098.2777777777778,20260214,449.5,-291.1666666666667,20260217,241.61111111111111,375.8333333333333
通路高→奥低→通路高,20260214,449.5,-291.1666666666667,20260217,241.61111111111111,375.8333333333333,20260224,606.1666666666666,-389.6111111111111
通路高→奥低→通路高,20260227,316.44444444444446,-1195.3333333333333,20260304,-746.4444444444445,-193.38888888888889,20260307,1044.1666666666667,824.8333333333334
通路高→奥低→通路高,20260424,464.94444444444446,-282.44444444444446,20260427,-646.2222222222222,1875.2777777777778,20260504,1025.9444444444443,-556.2777777777778
奥高→通路低→奥高,20260427,-646.2222222222222,1875.2777777777778,20260504,1025.9444444444443,-556.2777777777778,20260507,-638.8333333333334,225.72222222222223
通路高→奥低→通路高,20260504,1025.9444444444443,-556.2777777777778,20260507,-638.8333333333334,225.72222222222223,20260514,224.33333333333334,139.61111111111111
奥高→通路低→奥高,20260507,-638.8333333333334,225.72222222222223,20260514,224.33333333333334,139.61111111111111,20260517,-45.27777777777778,338.1666666666667
通路高→奥低→通路高,20260514,224.33333333333334,139.61111111111111,20260517,-45.27777777777778,338.1666666666667,20260524,612.9444444444445,-370.8333333333333
奥高→通路低→奥高,20260517,-45.27777777777778,338.1666666666667,20260524,612.9444444444445,-370.8333333333333,20260527,-214.05555555555554,-187.05555555555554
