machine_name,manufacturer,release_date,machine_type,rtp_setting1,rtp_setting2,rtp_setting3,rtp_setting4,rtp_setting5,rtp_setting6,bb_setting1,bb_setting2,bb_setting3,bb_setting4,bb_setting5,bb_setting6,rb_setting1,rb_setting2,rb_setting3,rb_setting4,rb_setting5,rb_setting6,notes
/いざ番長/SB8,sabohani（サボハニ）,2025-06-02,スマスロ,97.6,98.9,101.3,106.0,112.1,114.9,,,,,,,,,,,,,機種情報:ATタイプ/スマスロ/天井(最大999G+α)、AT純増約2.8枚or約5.0枚/G、ベース約32G、機械割は設定1=97.6%/設定2=98.9%/設定3=101.3%/設定4=106.0%/設定5=112.1%/設定6=114.9%、初当り合算確率は設定1=1/386.9/設定2=1/368.5/設定3=1/375.8/設定4=1/332.4/設定5=1/351.6/設定6=1/312.1、偶奇特徴(偶数設定=初当り高め安定、奇数設定=絶頂突入率優遇)、通常時モード「通常/チャンスA/チャンスB/天国」
/ギルティクラウン2/XF,メーシー,2023-09-19,スマスロ,97.9,98.9,100.6,105.4,108.1,110.6,,,,,,,,,,,,,スマスロ ギルティクラウン2と同一 / AT初当り:1/386〜1/280 天井:899G+α
009 RE:CYBORG,ニューギン,2023-09-04,スマスロ,97.5,98.6,100.2,104.9,108.5,114.9,,,,,,,,,,,,,AT初当り:1/350.2〜1/256.3 天井:1280G+α
1000ちゃん,オーイズミ,2020-01-06,A+AT,97.4,98.4,100.8,104.1,106.0,109.0,1/185.1,1/184.1,1/183.1,1/185.1,1/184.1,1/183.1,1/532.8,1/468.1,1/420.1,1/436.9,1/372.4,1/336.1,RBはLIVE BONUS確率 / 天井:777G
1000ちゃんA,エイブル,2025-06-02,スマスロ,98.0,,,,,108.0,,,,,,,,,,,,,ボーナス合算確率1/168.0(設定1)〜1/138.3(設定6)、機械割設定1=98.0%・設定2=99.8%・設定5=104.0%・設定6=108.0%(設定5から機械割100%超)、BIG合算1/190.0(設定1)〜1/152.8(設定6)、1000BONUS確率(1/1598.4)・BT初当り確率(1/1456.4)は全設定共通(設定差なし)
A‐SLOT+ この素晴らしい世界に祝福を！,サミー,2024-09-02,A+AT,98.5,99.3,101.2,102.9,105.1,107.6,1/266.4,1/265.3,1/256.0,1/252.1,1/246.4,1/238.3,1/399.6,1/378.8,1/366.1,1/346.8,1/326.0,1/312.1,完全攻略時出玉率:100.2%～110.4% 天井:非搭載
A‐SLOT+ 異世界かるてっと,サミー,2026-04-06,スマスロ,,,,,,109.0,,,,,,,,,,,,,設定1/2/5/6の4段階、設定2以上で機械割100%超・設定6=109.0%、BT合算確率約1/99(BT中ボーナス当選率50%超)、いせかる目はほぼ小役同時成立(約90%)、ボーナス中ハズレ目(15枚役)確率に大きな設定差
D4DJ Pachi‐Slot Mix,京楽,2024-08-05,スマスロ,97.6,98.5,100.0,104.0,108.2,114.9,,,,,,,,,,,,,AT初当り:1/270.5〜1/191.3 天井:最大777G+α
GALFY,オーイズミ,2026-05-25,AT,98.2,99.9,,,103.5,106.2,,,,,,,,,,,,,LBスロットGALFY、準完全告知タイプのノーマル(BT)機、機械割(完全攻略時)は設定1=98.2%(100.3%)、設定2=99.9%(102.2%)、設定5=103.5%(105.9%)、設定6=106.2%(108.7%)、BB:RB確率(ボーナス合算)は設定1=1/295.2:1/399.6(合算1/169.8)、設定2=1/292.6:1/360.1(合算1/161.4)、設定5=1/284.9:1/312.1(合算1/148.9)、設定6=1/277.7:1/277.7(合算1/138.8、設定6はBIG・REG同確率1:1)、設定3・4は未掲載、BT中ハズレ確率に設定1-6で大きな差(設定読みの主軸)
GI優駿倶楽部黄金,コナミアミューズメント,2024-02-05,スマスロ,97.5,98.6,100.5,105.4,108.5,112.0,,,,,,,,,,,,,AT初当り:1/285.3〜1/239.5 天井:1111G+α
HEY！エリートサラリーマン鏡,パオン・ディーピー,2022-12-05,スマスロ,97.6,98.7,100.4,104.5,109.0,114.9,,,,,,,,,,,,,AT初当り:1/269.4〜1/189.6 天井:999G
LB SHAKE BONUS TRIGGER,大都技研,,スマスロ,,,,,,,,,,,,,,,,,,,ボーナストリガー搭載テスト機 / 情報なし
LBニューパルサー,山佐,,ノーマル,,,,,,,,,,,,,,,,,,,ボーナストリガー搭載テスト機 / 情報なし
LBニューパルサーBTC9,山佐,,ノーマル,,,,,,,,,,,,,,,,,,,ボーナストリガー搭載テスト機 / 情報なし
LB翔べ!ハーレムエースCF,ネット,,スマスロ,,,,,,,,,,,,,,,,,,,ボーナストリガー搭載テスト機 / 情報なし
OVER-SLOT「AINZ OOAL GOWN絶対支配者光臨」,オーイズミ,2019-08-19,AT,97.4,98.6,100.2,104.2,107.0,110.0,,,,,,,,,,,,,AT初当り:1/350.6〜1/252.8 天井:786G
OVERLORD絶対支配者光臨II,オーイズミ,2023-03-20,AT,97.6,98.7,100.6,105.2,108.1,111.0,,,,,,,,,,,,,AT初当り:1/345.9〜1/233.1 天井:786G
Re:ゼロから始める異世界生活,大都技研,2019-03-04,AT,97.4,99.0,101.0,103.9,108.1,113.3,,,,,,,,,,,,,白鯨攻略戦:1/523〜1/334 天井:777G
Re:ゼロから始める異世界生活 season2,大都技研,2024-10-21,スマスロ,97.6,98.9,100.8,105.4,109.0,114.9,,,,,,,,,,,,,AT初当り:1/418.5〜1/325.2 天井:1300pt(約900G)
SHAKE BONUS TRIGGER,大都技研,2025-10-20,スマスロ,98.6,,,,,108.1,,,,,,,,,,,,,ボーナスのみで出玉増加するノーマルタイプ、完全攻略時機械割設定1=98.6%〜設定6=108.1%、偶数設定はBIG/REG比1:1で初当り軽め、奇数設定はBT(ボーナストリガー)ループしやすくBIG平均獲得枚数大、REG確率に大きな設定差
SHAKE BONUS TRIGGER(スマスロ),大都技研,2025-10-20,スマスロ,98.6,,,,,108.1,,,,,,,,,,,,,ボーナスのみで出玉増加するノーマルタイプ、完全攻略時機械割設定1=98.6%〜設定6=108.1%、偶数設定はBIG/REG比1:1で初当り軽め、奇数設定はBT(ボーナストリガー)ループしやすくBIG平均獲得枚数大、REG確率に大きな設定差
SLOTドルアーガの塔,ユニバーサル,2025-09-08,スマスロ,99.0,100.3,,,102.3,104.9,,,,,,,,,,,,,スマスロ版とは別の旧パチスロ版(SLOT版)。詳細スペックは検索で未確認、スマスロ版(行参照)とは別物として扱う
Sister Quest,カルミナ,2025-03-03,スマスロ,97.7,,,,,111.2,,,,,,,,,,,,,AT確率1/470.0(設定1)〜1/367.0(設定6)、機械割設定1=97.7%・設定6=111.2%(設定差約13.5%とスマスロでは大きめ)、2025年3月導入のRPG系AT機
Sister Quest(シスタークエスト),Carmina（カルミナ）,2025-03-03,スマスロ,97.7,98.5,100.2,103.8,107.0,111.2,,,,,,,,,,,,,ATタイプ/スマスロ/天井(CZ間天井最大1400EXP+α)、AT純増約3枚or約5枚/G、機械割は設定1=97.7%/設定2=98.5%/設定3=100.2%/設定4=103.8%/設定5=107.0%/設定6=111.2%、Quest Battle(CZ)確率は設定1=1/317.3〜設定6=1/267.0、冒険RUSH(AT)直撃確率は設定1=1/470.0〜設定6=1/367.0、Sister Questシリーズ8年ぶり復活、自力バトルCZから冒険RUSH(差枚3枚増ペース)へ
Sister Quest(スマスロ),Carmina（カルミナ）,2025-03-03,スマスロ,97.7,98.5,100.2,103.8,107.0,111.2,,,,,,,,,,,,,ATタイプ/スマスロ/天井(CZ間天井最大1400EXP+α)、AT純増約3枚or約5枚/G、機械割は設定1=97.7%/設定2=98.5%/設定3=100.2%/設定4=103.8%/設定5=107.0%/設定6=111.2%、Quest Battle(CZ)確率は設定1=1/317.3〜設定6=1/267.0、冒険RUSH(AT)直撃確率は設定1=1/470.0〜設定6=1/367.0、Sister Questシリーズ8年ぶり復活、自力バトルCZから冒険RUSH(差枚3枚増ペース)へ
ToLOVEるダークネス,オリンピア,2024-06-03,スマスロ,,98.0,99.0,102.5,105.8,110.1,,,,,,,,,,,,,設定1非搭載 AT初当り:1/352(設定2)〜1/311(設定6) 天井:999G+α
ToLOVEるダークネス TRANCE ver.8.7,オリンピア,2025-05-19,スマスロ,,98.0,99.0,103.1,110.3,112.0,,,,,,,,,,,,,設定1非搭載 天井:999G+α
ULTRAMAN,七匠,2019-12-02,AT,97.5,98.7,100.6,104.2,107.0,108.8,,,,,,,,,,,,,AT確率:1/678〜1/524 天井:777G
ULTRAMAN(スマスロ),京楽,2025-06-02,スマスロ,97.7,99.0,,104.1,109.7,114.9,,,,,,,,,,,,,ATタイプ/スマスロ/天井(最大998G+α)、AT純増約4.0枚/G、ベース(50枚あたり)約33.6G、機械割は設定1=97.7%/設定2=99.0%/設定4=104.1%/設定5=109.7%/設定6=114.9%(設定3未掲載)、AT初当り確率は設定1=1/320.2/設定2=1/308.7/設定4=1/271.9/設定5=1/247.3/設定6=1/222.8、上位状態「リミッター解除」継続率約93%(Vストック・引き戻し含む)
